Village_Name,Village,Union_Name
PURBA CHHAGALKANDA,160,SAMUDAYKATHI
PURBA SARENGKATHI,160,SAMUDAYKATHI
RAMCHANDRAPUR,180,SAMUDAYKATHI
SAMUDAYKATHI,190,SAMUDAYKATHI
SASID,190,SAMUDAYKATHI
SEHANGAL,190,SAMUDAYKATHI
SRIPATIKATHI,190,SAMUDAYKATHI
SUNDAR,190,SAMUDAYKATHI
BISHNUKATHI,020,SARENGKATHI
GANMAN,070,SARENGKATHI
GAYESHKATHI,070,SARENGKATHI
GOBINDAGUHAKATHI,070,SARENGKATHI
KARFA,110,SARENGKATHI
MUNINAG,130,SARENGKATHI
PASHCHIM SARENGKATHI,160,SARENGKATHI
PASHCHIM SOHAGDAL,160,SOHAGDAL
PURBA SOHAGDAL,160,SOHAGDAL
BALIHARI,020,SUTIAKATI
BARARA,020,SUTIAKATI
KOURIKHARA,110,SUTIAKATI
KUNIARI (PART),110,SUTIAKATI
NANDUHAR,140,SUTIAKATI
SHANTIHAR,190,SUTIAKATI
SUTIAKATHI,190,SUTIAKATI
,,
,,
,,
,,
,,
,,
,,
,,
,,
BALIPARA DIGHI,020,BALIPARA
MADHYA BALIPARA,131,BALIPARA
PASHCHIM BALIPARA,162,BALIPARA
PURBA BALIPARA,163,BALIPARA
UTTAR BALIPARA,214,BALIPARA
DAKKHIN CHANDIPUR,040,BALIPARA
PASHCHIM CHAR BALESHWAR,161,BALIPARA
PURBA CHAR BALESHWAR,162,BALIPARA
UTTAR CHANDIPUR,213,BALIPARA
PASHCHIM KHOLPATUA,160,BALIPARA
PURBA KHOLPATUA,161,BALIPARA
CHAR SAUDKHALI,030,BALIPARA
DHEPSABUNIA,040,BALIPARA
DAKKHIN KALARAN,040,BALIPARA
MADHYA KALARAN,131,BALIPARA
UTTAR KALARAN,212,BALIPARA
SAUDKHALI,190,BALIPARA
BARAIKHALI,020,PARERHAT
BATAJOR,021,PARERHAT
GADAR HAOLA,072,PARERHAT
LAKKHIDIA,123,PARERHAT
NALBUNIA,144,PARERHAT
CHAR GAZIPUR,030,PARERHAT
CHAR LAHURI,031,PARERHAT
CHAR TAGRA,030,PARERHAT
CHAR TENGRAKHALI,030,PARERHAT
DARI CHAR BARAIKHALI,040,PARERHAT
DARI CHAR GAZIPUR,040,PARERHAT
DARI CHAR IKARBUNIA,040,PARERHAT
DARI CHAR LAHURI,040,PARERHAT
HOGLABUNIA,080,PARERHAT
IKARBUNIA,090,PARERHAT
LAHURI,120,PARERHAT
TAGRA,200,PARERHAT
TENGRAKHALI,200,PARERHAT
PARERHAT,160,PARERHAT
UMEDPUR,211,PARERHAT
BHABANIPUR,020,PATTASHI
CHARAKHALI,030,PATTASHI
CHARNI PATTASHI,030,PATTASHI
DEBIPUR,040,PATTASHI
GABGACHIA,071,PATTASHI
INDURKANI,090,PATTASHI
DAKKHIN KALAIA,040,PATTASHI
UTTAR KALAIA,211,PATTASHI
DAKKHIN PATTASHI,040,PATTASHI
UTTAR PATTASHI,211,PATTASHI
RAMCHANDRAPUR,180,PATTASHI
SEUTIBARIA,190,PATTASHI
ABU SARDARPARA,010,ALIKADAM
ABU MIA SARDARPARA,011,ALIKADAM
ALI KADAM BAZARPARA,012,ALIKADAM
ALIMUDDIN CHAIRMANPARA,013,ALIKADAM
AMTALIPARA,014,ALIKADAM
ANWARHOSSAIN CHAIRMANPARA,015,ALIKADAM
AUNGBAIPARA,017,ALIKADAM
BARISALPARA,029,ALIKADAM
BATTALIPARA,030,ALIKADAM
BAZAL MEMBERPARA,031,ALIKADAM
BAZAR HINDUPARA,032,ALIKADAM
BAZAR MARMAPARA,033,ALIKADAM
BHARAT MOHANPARA,035,ALIKADAM
CHANDRA MOHANPARA,046,ALIKADAM
CHIONIPARA,047,ALIKADAM
DAKKHIN PALANGPARA,058,ALIKADAM
DANU SARDARPARA,059,ALIKADAM
DASHMANTRIPURAPARA,060,ALIKADAM
DAYALCHANDRAPARA,061,ALIKADAM
FARID CHAIRMANPARA,082,ALIKADAM
JAKERPARA,123,ALIKADAM
KHUILYAMIA CHAIRMANPARA,137,ALIKADAM
LANGDIRPARA,149,ALIKADAM
LIAKAT ALIPARA,150,ALIKADAM
MANIK SARDARPARA,161,ALIKADAM
MASTERPARA,163,ALIKADAM
MONGBAAUNG KARBARIPARA,168,ALIKADAM
MONGKULU KARBARIPARA,169,ALIKADAM
MONGSHAIPRUPARA,170,ALIKADAM
MOSTAKPARA,171,ALIKADAM
MUKBUL AHMAD SARDARPARA,172,ALIKADAM
NASIR CHAIRMANPARA,183,ALIKADAM
NASIR MASTERPARA,184,ALIKADAM
NURUL ALAMPARA,185,ALIKADAM
NURUL ISLAM SARDARPARA,186,ALIKADAM
NURUZZAMANPARA,187,ALIKADAM
PAHARTOLIPARA,208,ALIKADAM
PRAVAT TRIPURAPARA,209,ALIKADAM
PROVAT KARBARIPARA,210,ALIKADAM
PURBA PALANGPARA,211,ALIKADAM
SABER MIAPARA,242,ALIKADAM
SAFUR GHONAPARA,243,ALIKADAM
SAIYADUR RAHMANPARA,244,ALIKADAM
SAKLAM KARBARIPARA,245,ALIKADAM
SALIMULLAH SARDARPARA,247,ALIKADAM
SOLTAN SARDARPARA,249,ALIKADAM
SONAMIA SARDARPARA,250,ALIKADAM
SYLHETIPARA,251,ALIKADAM
TALUK CHANDRAPARA,262,ALIKADAM
THANAPARA,263,ALIKADAM
THANDA MISTRIPARA,264,ALIKADAM
TONGPRAY KARBARIPARA,265,ALIKADAM
UPAZILA PARISHAD,276,ALIKADAM
UPAZILA SADAR HINDUPARA,277,ALIKADAM
UTTAR PALANGPARA,278,ALIKADAM
CHINGCHINGPARA,030,ALIKADAM
KAIMPAPARA,111,ALIKADAM
KRATPUNGPARA,112,ALIKADAM
MENKEOPARA,133,ALIKADAM
MENKOKPARA,134,ALIKADAM
MENRAIPARA,135,ALIKADAM
NAYARAMPARA,146,ALIKADAM
NIABUTPARA,147,ALIKADAM
PAYAPARA,168,ALIKADAM
AGULA TRIPURAPARA,010,ALIKADAM
ASATI TRIPURAPARA,011,ALIKADAM
ASHRAYAN PRAKALPA,012,ALIKADAM
BASAIYAPARA,023,ALIKADAM
BHABIPARA,024,ALIKADAM
BULUPARA,025,ALIKADAM
CANTONMENT,030,ALIKADAM
CHANDRAMANIPARA,036,ALIKADAM
DARPARA,047,ALIKADAM
DHARMACHARAN TRIPURAPARA,048,ALIKADAM
BIRGODAN PARA,087,ALIKADAM
JABIRAM KARBARIPARA,109,ALIKADAM
JALANTA MONIPARA,110,ALIKADAM
JANACHANDRA TRIPURAPARA,111,ALIKADAM
JHIRIPARA,112,ALIKADAM
KAING WAIPARA,123,ALIKADAM
KLANGINGPARA,124,ALIKADAM
KRANGCHINGPARA,125,ALIKADAM
LAIRUPARA,136,ALIKADAM
LANGRIPARA,137,ALIKADAM
LONGDANPARA,138,ALIKADAM
MENKOKPARA,149,ALIKADAM
MENPAYPARA,150,ALIKADAM
MENRUMPARA,151,ALIKADAM
NAYARAM KARBARIPARA,162,ALIKADAM
PARAIPARA,183,ALIKADAM
RENGPUNG HEADMANPARA,204,ALIKADAM
SANGLIPARA,215,ALIKADAM
SEORENG MEMBERPARA,216,ALIKADAM
SUBID ALIPARA,217,ALIKADAM
SUNANGPARA,218,ALIKADAM
THOAIGYA KARBARIPARA,229,ALIKADAM
UK-LINGPARA,240,ALIKADAM
YUNUS MEMBERPARA,281,ALIKADAM
ABDUL KHALEK KARBARIPARA,010,CHAIKKHYONG
AKBAR AHMADPARA,011,CHAIKKHYONG
ALI MEMBERPARA,012,CHAIKKHYONG
ATICHANDRDPARA,013,CHAIKKHYONG
AUNGSAHLAPARA,014,CHAIKKHYONG
BHORIR MUKH KONAPARA,025,CHAIKKHYONG
BHORIR MUKHPARA,026,CHAIKKHYONG
BULU MRO KARBARIPARA,027,CHAIKKHYONG
CHAMONGPARA,038,CHAIKKHYONG
CHHAHLARUPARA,039,CHAIKKHYONG
AONGTHOICHHANPARA,058,CHAIKKHYONG
ERSHAD MEMBERPARA,060,CHAIKKHYONG
FUTERJHIRIPARA,071,CHAIKKHYONG
GHONAPARA,082,CHAIKKHYONG
GURAMIA MEMBERPARA,083,CHAIKKHYONG
JOYNAL MEMBERPARA,114,CHAIKKHYONG
CHAKMAPARA,123,CHAIKKHYONG
KAIRI MROPARA,125,CHAIKKHYONG
KASHEM MEMBERPARA,126,CHAIKKHYONG
KHEDARI GHONAPARA,127,CHAIKKHYONG
KYAJPRU MARMAPARA,128,CHAIKKHYONG
KARMAKARPARA,134,CHAIKKHYONG
MANNAN MEMBERPARA,149,CHAIKKHYONG
MONGCHING HEADMANPARA,150,CHAIKKHYONG
MUIHLA KARBARIPARA,151,CHAIKKHYONG
NAIKHYONGJHIRIPARA,162,CHAIKKHYONG
NATENGA JHIRIPARA,163,CHAIKKHYONG
NATUN KARMAKARPARA,164,CHAIKKHYONG
NIYOAUNG KARBARIPARA,165,CHAIKKHYONG
NIYOMONG HEADMANPARA,166,CHAIKKHYONG
NURUZZAMAN SARDARPARA,167,CHAIKKHYONG
OBAIDUL HAKIM PAHARIPARA,178,CHAIKKHYONG
OBAIDUL HAKIMPARA,179,CHAIKKHYONG
OLI MEMBERPARA,180,CHAIKKHYONG
OMAR MAJHIPARA,181,CHAIKKHYONG
PADUI MROPARA,192,CHAIKKHYONG
PANIJHIRI SHAHJAN MOLLAPARA,193,CHAIKKHYONG
PANIRJHIRI AUNGKHOICHHAPARA,194,CHAIKKHYONG
POKHAIYA JHIRIPARA,195,CHAIKKHYONG
PURATAN BHARIRMUKHPARA,196,CHAIKKHYONG
PURBA RANGPARA,197,CHAIKKHYONG
SHAFIUL ALAM MEMBERPARA,228,CHAIKKHYONG
SHIRAJ KARBARIPARA,229,CHAIKKHYONG
SIDDIQUE KARBARIPARA,230,CHAIKKHYONG
SONACHANDRA TRIPURAPARA,231,CHAIKKHYONG
SONAICHHARIPARA,232,CHAIKKHYONG
TARABUNIAPARA,243,CHAIKKHYONG
THAKURAM TRIPURAPARA,244,CHAIKKHYONG
THAKURJHIRI JALANTA MANIPARA,245,CHAIKKHYONG
THANWAI MROPARA,246,CHAIKKHYONG
THOAICHING HEADMANPARA,247,CHAIKKHYONG
KONAPARA,428,CHAIKKHYONG
MOHAMMAD ALI PARA,502,CHAIKKHYONG
ADUPARA,010,CHAIKKHYONG
AUNGPRANGPARA,011,CHAIKKHYONG
BACHHACHANDRAPARA,022,CHAIKKHYONG
CHHATRAPARA,033,CHAIKKHYONG
BULU MRO PARA,104,CHAIKKHYONG
KAKHAIPARA,115,CHAIKKHYONG
KHINGPONGPARA,116,CHAIKKHYONG
CHLLAH PARA,123,CHAIKKHYONG
LAIRUPARA,127,CHAIKKHYONG
LONGLEINGPARA,128,CHAIKKHYONG
MEMPAPARA,139,CHAIKKHYONG
MENRUAPARA,140,CHAIKKHYONG
NAMSAKPARA,151,CHAIKKHYONG
PAMMIA MEMBERPARA,172,CHAIKKHYONG
POBLAPARA,173,CHAIKKHYONG
RAMJUPARA,194,CHAIKKHYONG
RENGYA KARBARIPARA,195,CHAIKKHYONG
RENGYAKPARA,196,CHAIKKHYONG
RUIPAPARA,197,CHAIKKHYONG
SAKLEINGPARA,208,CHAIKKHYONG
SANGCHUNGPARA,209,CHAIKKHYONG
TANTUIPARA,220,CHAIKKHYONG
TOLAPARA,221,CHAIKKHYONG
UKIJANPARA,232,CHAIKKHYONG
YANGRUNGPARA,273,CHAIKKHYONG
YOUNGNANGPARA,274,CHAIKKHYONG
JOYNAL ABEDINPARA,391,CHAIKKHYONG
MISON CHANDRA PARA,494,CHAIKKHYONG
OTI CHANDRA PARA,583,CHAIKKHYONG
RENDON MEMBER PARA,637,CHAIKKHYONG
AMIR HOSSAIN SARDARPARA,012,CHAIKKHYONG
2 NO PURNOBASHON PARA,019,CHAIKKHYONG
BAGHER JHIRIPARA,025,CHAIKKHYONG
BATTALI BANGALIPARA,030,CHAIKKHYONG
BATTALI MARMAPARA,031,CHAIKKHYONG
ABUL KASHEM PARA,041,CHAIKKHYONG
DARDARI ABUL KASHEMPARA,055,CHAIKKHYONG
DUPRU JHIRI BANGALIPARA,056,CHAIKKHYONG
DUPRU JHIRI MROPARA,057,CHAIKKHYONG
FUTER ZIRIPARA,078,CHAIKKHYONG
HAJI RAHMAT ALI SARDARPARA,099,CHAIKKHYONG
1 NO PURNOBASON PARA,101,CHAIKKHYONG
KERAJHIRI BANGALIPARA,135,CHAIKKHYONG
KERAJHIRI MROPARA,136,CHAIKKHYONG
KILU KARBARIPARA,137,CHAIKKHYONG
KYAHLAAUNG KARBARIPARA,138,CHAIKKHYONG
LARAT MROPARA,149,CHAIKKHYONG
MANGKHAIPARA,161,CHAIKKHYONG
MOHAMMAD HOSSAIN SARDARPARA,162,CHAIKKHYONG
MONG PAIKHAY HEADMANPARA,164,CHAIKKHYONG
NURUL KABIR MEMBERPARA,181,CHAIKKHYONG
OMAR ALIPARA,192,CHAIKKHYONG
PATTAKHAIYAPARA,203,CHAIKKHYONG
WAKKIPARA,222,CHAIKKHYONG
REPARPARA BAZAR,224,CHAIKKHYONG
SHIBATALI AUNGCHHAU KARBARIPARA,237,CHAIKKHYONG
SHIBATALI BANGALIPARA,238,CHAIKKHYONG
SHIBATALI KALU KARBARIPARA,239,CHAIKKHYONG
SHIBATALI MARMAPARA,240,CHAIKKHYONG
SHILBUNIA BANGALIPARA,241,CHAIKKHYONG
SHILBUNIA MARMAPARA,242,CHAIKKHYONG
SHISHUPARA,243,CHAIKKHYONG
NUR ISLAM MEMBER PARA,548,CHAIKKHYONG
AUNGCHUIPARA,010,KURUKPATA
AUNGGARPARA,011,KURUKPATA
BAKCHHOAPARA,022,KURUKPATA
BARAIPARA,023,KURUKPATA
BASACHANDRAPARA,024,KURUKPATA
BULAIPARA,025,KURUKPATA
BIDYAMANIPARA,030,KURUKPATA
CHHAKLAMPARA,036,KURUKPATA
CHONGWAIPARA,037,KURUKPATA
DAKKHAIPARA,048,KURUKPATA
DARADMANIPARA,049,KURUKPATA
DARAMANIPARA,050,KURUKPATA
DARLIPARA,051,KURUKPATA
DENDANPARA,052,KURUKPATA
DUIMOTKIAPARA,053,KURUKPATA
ARUI PARA,063,KURUKPATA
AUNGRAI PARA,066,KURUKPATA
GURUCHANPARA,084,KURUKPATA
KAMCHANGPARA,125,KURUKPATA
KHAMCHONGPARA,126,KURUKPATA
KHIDUPARA,127,KURUKPATA
KILMANPARA,128,KURUKPATA
KRATLAIPARA,129,KURUKPATA
MADAKPARA,150,KURUKPATA
MENKLAIPARA,151,KURUKPATA
MENLIOPARA,152,KURUKPATA
MONGKARPARA,153,KURUKPATA
PARAOPARA,184,KURUKPATA
RAITMONIPARA,205,KURUKPATA
RALAIPARA,206,KURUKPATA
RENGYENPARA,207,KURUKPATA
REYAKHUTPARA,208,KURUKPATA
RUITANPARA,209,KURUKPATA
SINGDAMANIPARA,220,KURUKPATA
YOUNGCHHAPARA,281,KURUKPATA
HAJIRAM PARA,298,KURUKPATA
JANA PARA,372,KURUKPATA
KAMRANG PARA,409,KURUKPATA
KRONGLE PARA,433,KURUKPATA
MAGASHING PARA,483,KURUKPATA
MANGARPARA,485,KURUKPATA
PONGDI PARA,613,KURUKPATA
REAUNG PARA,674,KURUKPATA
RENGRUK PARA,675,KURUKPATA
SONGRENG PARA,725,KURUKPATA
TAILE PARA,742,KURUKPATA
UCHINGDA PARA,745,KURUKPATA
ADUIPARA,010,KURUKPATA
AMENPARA,011,KURUKPATA
ANGBUIPARA,012,KURUKPATA
ANUMPARA,013,KURUKPATA
AOYAIPARA,014,KURUKPATA
AUNGKYAJAINGPARA,015,KURUKPATA
AUNGNONGPARA,016,KURUKPATA
BARADIPARA,027,KURUKPATA
BHAILEPARA,028,KURUKPATA
BHALUKAPARA,029,KURUKPATA
BIDYAMANIPARA,031,KURUKPATA
BILRAMPARA,032,KURUKPATA
BUTUPARA,033,KURUKPATA
CHAIRMANPARA,044,KURUKPATA
CHHALAPARA,045,KURUKPATA
CHINCHONGPARA,046,KURUKPATA
CHINGDIPARA,047,KURUKPATA
CHONGKHAIPARA,048,KURUKPATA
ALASHYA MONI PARA,054,KURUKPATA
AMANPARA,056,KURUKPATA
DAGECHANDRAPARA,059,KURUKPATA
DANGKPARA,060,KURUKPATA
DIGUAPARA,061,KURUKPATA
DUBHASHIPARA,062,KURUKPATA
DUNGKHAPARA,063,KURUKPATA
AUNGWAIPARA,067,KURUKPATA
BILAMONI PARA,089,KURUKPATA
BILRAO PARA,091,KURUKPATA
HATIBAZARPARA,104,KURUKPATA
DARA PARA,113,KURUKPATA
INDUPARA,115,KURUKPATA
CHANGRENG PARA,123,KURUKPATA
JAMIRAMPARA,126,KURUKPATA
KAIN WANPARA,137,KURUKPATA
KAIPAPARA,138,KURUKPATA
KAMPUKPARA,139,KURUKPATA
KARAPARA,140,KURUKPATA
KONGYONGPARA,141,KURUKPATA
KRANGLAINPARA,142,KURUKPATA
KRAUKRINGPARA,143,KURUKPATA
KRINGLAPARA,144,KURUKPATA
KRINGWAIPARA,145,KURUKPATA
KULKULPARA,146,KURUKPATA
KURUKPATA,147,KURUKPATA
DANGKAU PARA,150,KURUKPATA
DEWA PARA,156,KURUKPATA
LAILIAPARA,158,KURUKPATA
LALANGPARA,159,KURUKPATA
LANGCHONGPARA,160,KURUKPATA
LANGPUNGPARA,161,KURUKPATA
LAZAINPARA,162,KURUKPATA
LENGGUAIPARA,163,KURUKPATA
LENGTUIPARA,164,KURUKPATA
MALIRANGPARA,175,KURUKPATA
MANGINPARA,176,KURUKPATA
MANGKRATPARA,177,KURUKPATA
MANNIKPARA,178,KURUKPATA
MARANPARA,179,KURUKPATA
MELLEPARA,180,KURUKPATA
MENCHANGPARA,181,KURUKPATA
MENCHINGPARA,182,KURUKPATA
MENCHUIPARA,183,KURUKPATA
MENDIOPARA,184,KURUKPATA
MENDONGPARA,185,KURUKPATA
MENKAKPARA,186,KURUKPATA
MENLANGPARA,187,KURUKPATA
MENLINGPARA,188,KURUKPATA
MENPOMPARA,189,KURUKPATA
MENRAIPARA,190,KURUKPATA
MENTHAMPARA,191,KURUKPATA
MENTANGPARA,192,KURUKPATA
MONGCHACHINGPARA,193,KURUKPATA
NAGSINGPARA,204,KURUKPATA
NANGAUNGPARA,205,KURUKPATA
NEYADUIPARA,206,KURUKPATA
NIABUTPARA,207,KURUKPATA
NONGWAIPARA,208,KURUKPATA
FANDA PARA,224,KURUKPATA
PADDIPARA,229,KURUKPATA
PALEPARA,230,KURUKPATA
PATUIPARA,231,KURUKPATA
PATUIPARA,232,KURUKPATA
POAMUHURI BAZAR,233,KURUKPATA
PRAVAPARA,234,KURUKPATA
RANGRAOPARA,255,KURUKPATA
REAKPARA,256,KURUKPATA
RENGAUNGPARA,257,KURUKPATA
RENGLAKPARA,258,KURUKPATA
RENGYAKPARA,259,KURUKPATA
RUITANPARA,260,KURUKPATA
RUMRANGPARA,261,KURUKPATA
SAKPUNGPARA,272,KURUKPATA
SATIRAMPARA,273,KURUKPATA
SATIRANGPARA,274,KURUKPATA
TAINPARA,285,KURUKPATA
TANGLENGPARA,286,KURUKPATA
TECHCHHAPARA,287,KURUKPATA
TONGLENPARA,288,KURUKPATA
TULAPARA,289,KURUKPATA
YANGKIPARA,340,KURUKPATA
YENGEYPARA,341,KURUKPATA
ZIRAPARA,352,KURUKPATA
KAMCHONG PARA,409,KURUKPATA
KHARJON PARA,419,KURUKPATA
KLANGWAI PARA,424,KURUKPATA
KRELAI PARA,432,KURUKPATA
KURUKPATA BAZAR PARA,437,KURUKPATA
LAKKHI MONI KARBARI PARA,446,KURUKPATA
LANGNU PARA,449,KURUKPATA
LENGLONGPARA,452,KURUKPATA
MAIKUA PARA,483,KURUKPATA
MANGRU PARA,485,KURUKPATA
MENDEN PARA,489,KURUKPATA
MENEAM PARA,490,KURUKPATA
MENLE PARA,491,KURUKPATA
MENLEO PARA,492,KURUKPATA
MENNI PARA,493,KURUKPATA
MENRUNG PARA,494,KURUKPATA
MENTA PARA,495,KURUKPATA
MONGBOOK PARA,502,KURUKPATA
MONGKEYNU PARA,503,KURUKPATA
MORANI PARA,505,KURUKPATA
NADRAM PARA,520,KURUKPATA
NANGWAI PARA,522,KURUKPATA
NEPEO PARA,526,KURUKPATA
NIL MONI PARA,531,KURUKPATA
PANDAB PARA,594,KURUKPATA
PATHAR BHANGA PARA,596,KURUKPATA
PUKHA PARA,622,KURUKPATA
RENGJU PARA,674,KURUKPATA
RINGLAI PARA,679,KURUKPATA
RUITAN PARA,696,KURUKPATA
SAKLAM PARA,705,KURUKPATA
SANDALI PARA,707,KURUKPATA
SANFRI PARA,709,KURUKPATA
SHUVASH PARA,715,KURUKPATA
SINDHU PARA,716,KURUKPATA
SINGDI PARA,717,KURUKPATA
SINGRAIPARA,719,KURUKPATA
SINGRAW PARA,720,KURUKPATA
SONABI PARA,724,KURUKPATA
SUKHAM PARA,733,KURUKPATA
TALENG PARA,740,KURUKPATA
TANGAUI PARA,742,KURUKPATA
TONPONG PARA,761,KURUKPATA
VARLI PARA,816,KURUKPATA
VHEULA PARA,991,KURUKPATA
AOYAIPARA,016,NAYAPARA
BABUPARA,028,NAYAPARA
BEGRAPARA,034,NAYAPARA
JANALIPARA,124,NAYAPARA
KAINGOYAIPARA,135,NAYAPARA
KHETDINGPARA,136,NAYAPARA
KRIOYAIPARA,138,NAYAPARA
MANINGPARA,162,NAYAPARA
MENLUYAPARA,164,NAYAPARA
MENSHINGPARA,165,NAYAPARA
MERINCHAR KAINGKOKPARA,166,NAYAPARA
MERINCHAR SAKRAAUNGPARA,167,NAYAPARA
SAKLANGPARA,246,NAYAPARA
SANGKRATPARA,248,NAYAPARA
ABBAS KARBARIPARA,010,NAYAPARA
ACHHAD ALIPARA,011,NAYAPARA
AMTALI BANAPURPARA,013,NAYAPARA
AMTALICHAR,014,NAYAPARA
BANIKPARA,026,NAYAPARA
MOKTAR PARA PART,027,NAYAPARA
BASHIR KARBARIPARA,028,NAYAPARA
BASUDEB KARBARIPARA,029,NAYAPARA
CHHAYE MROPARA,042,NAYAPARA
DAKKHIN BAGANPARA,053,NAYAPARA
DAKKHIN NAYAPARA,054,NAYAPARA
IDRIS KARBARIPARA,110,NAYAPARA
JOGENDRAPARA,122,NAYAPARA
KALAR JHIRIPARA,133,NAYAPARA
KORMOKAR PARA,160,NAYAPARA
MOKTARPARA,163,NAYAPARA
MONGCHA MARMAPARA,165,NAYAPARA
MONGCHA MUSLIMPARA,166,NAYAPARA
MOSTAK KARBARIPARA,167,NAYAPARA
NATUN BASHIRPARA,178,NAYAPARA
NAYAPARACHAR,179,NAYAPARA
NAZIR MEMBERPARA,180,NAYAPARA
ROHINIMOHANPARA,225,NAYAPARA
SARADAPARA,236,NAYAPARA
SURJAMANIPARA,244,NAYAPARA
THANDAJHIRI PINGDAN MROPARA,255,NAYAPARA
UTTAR BAGANPARA,266,NAYAPARA
WAIHLA KARBARIPARA,287,NAYAPARA
ISHAK KARBARIPARA,360,NAYAPARA
ISHAK PARA PART,362,NAYAPARA
MONGPAKHY PARA,502,NAYAPARA
HEBRONPARA,097,BANDARBAN
JOYMOHANPARA,123,BANDARBAN
KANAUPARA,136,BANDARBAN
KATTALI PARA,138,BANDARBAN
LEMUJHIRI AGAPARA,150,BANDARBAN
LEMUJHIRI MUSLIMPARA,151,BANDARBAN
LEMUJHIRIPARA,152,BANDARBAN
MONGNU HEADMANPARA,168,BANDARBAN
MONGPRUPARA,169,BANDARBAN
TONGPRUPARA,254,BANDARBAN
UJIPARA,267,BANDARBAN
BHANGA MURAPARA,020,BANDARBAN
BRICKFIELDPARA,021,BANDARBAN
DAKKHIN GOALIAKHOLA,042,BANDARBAN
DALUJHIRI TANCHANGYAPARA,043,BANDARBAN
DANTBHANGAPARA,044,BANDARBAN
DHUNGKHIPARA,045,BANDARBAN
DOLUJHIRIPARA,046,BANDARBAN
DOLUR BAG,047,BANDARBAN
DULACHANPARA,048,BANDARBAN
BHANDARI PARA,086,BANDARBAN
HAFEZGHONA NATUNPARA,089,BANDARBAN
HATIBHANGAPARA,090,BANDARBAN
JINIAUNGPARA,111,BANDARBAN
KANAPARA,122,BANDARBAN
LAIMIPARA,133,BANDARBAN
LAMBA GHONAPARA,134,BANDARBAN
LEMUJHIRIPARA,135,BANDARBAN
MAJUMDARPARA,146,BANDARBAN
PARJATAN CHAKMAPARA,177,BANDARBAN
RATNAPURPARA,198,BANDARBAN
REICHHA BAZAR,199,BANDARBAN
REICHHA SATKAMALPARA,200,BANDARBAN
REICHHA SENIORPARA,201,BANDARBAN
REICHHA THALIPARA,202,BANDARBAN
ROWAJAPARA,203,BANDARBAN
SANGYAI MARMAPARA,214,BANDARBAN
SANGYAI TRIPURAPARA,215,BANDARBAN
SHAIKRAWPARA,216,BANDARBAN
SITAMURAPARA,217,BANDARBAN
TALUKDARPARA,228,BANDARBAN
UTTAR GOALIAKHOLA,239,BANDARBAN
ALEKKHYONGPARA,010,BANDARBAN
DALUJHIRI NICHERPARA,041,BANDARBAN
DALUJHIRI UPARPARA,042,BANDARBAN
HLAPAI MUKHPARA,083,BANDARBAN
HLAPAI UZANIPARA,084,BANDARBAN
KRAIKKHYONGPARA,115,BANDARBAN
LULAIN HEADMANPARA,126,BANDARBAN
LULAIN PUNARBASANPARA,127,BANDARBAN
NOAPATONG MUKHPARA,148,BANDARBAN
SHAMUKJHIRI PUNARBASANPARA,199,BANDARBAN
AMJOYPARA,010,KUHALONG
BILAICHHARIPARA,021,KUHALONG
BIRLAL CHAKMAPARA,022,KUHALONG
BURIPARA,023,KUHALONG
CHAUPARA,034,KUHALONG
CHEMI DALUPARA,035,KUHALONG
DAKBANGLA MUSLIMPARA,046,KUHALONG
GUNGGURU MADHYAMPARA,077,KUHALONG
GUNGGURU MUKHPARA,078,KUHALONG
GUNGURU AGAPARA,079,KUHALONG
KENAIJOPARA,120,KUHALONG
KIBUKPARA,121,KUHALONG
KOLASE MAJHERPARA,122,KUHALONG
KRAU AMTALIPARA,123,KUHALONG
NOAPARA,154,KUHALONG
PASHCHIM KHAIYAPARA,175,KUHALONG
PURBA KHAIYAPARA,176,KUHALONG
UGYAPARA,227,KUHALONG
CHINGLUNGPARA,030,KUHALONG
JARDANPARA,101,KUHALONG
NATUN AMTALI CHAKMAPARA,142,KUHALONG
UZI HEADMANPARA,213,KUHALONG
ANSAR GHONA,010,KUHALONG
APRUMONG KARBARIPARA,011,KUHALONG
BAGHMARA MUKHPARA,022,KUHALONG
BAGHMARAPARA,023,KUHALONG
BAKICHHARA MUKH ALINAGAR,024,KUHALONG
BARATHALI CHAIRMANPARA,025,KUHALONG
BARATHALI MEMBERPARA,026,KUHALONG
BATTALIPARA,027,KUHALONG
BHANGAMURAPARA,028,KUHALONG
BHARAKHALIPARA,029,KUHALONG
BIKRICHHARA LAMARPARA,030,KUHALONG
BIKRICHHARA MAJHERPARA,031,KUHALONG
BIKRICHHARA METHOYAIUPARA,032,KUHALONG
BIKRICHHARA MUSLIMPARA,033,KUHALONG
BIKRICHHARA PURBA MUSLIMPARA,034,KUHALONG
CHARUIPARA,045,KUHALONG
CHEMIR MUKHPARA,046,KUHALONG
CHINGPRUE KARBARIPARA,047,KUHALONG
DALBANIA AUNGCHAU KHEYANGPARA,058,KUHALONG
1NO. RABAR BAGAN,105,KUHALONG
2NO. RABAR BAGAN,110,KUHALONG
JOUTHA KHAMAR,119,KUHALONG
3NO. RABAR BAGAN,120,KUHALONG
KUHALONG BARUAPARA,130,KUHALONG
KUHALONG HEADMANPARA,131,KUHALONG
KYAMBAPARA,132,KUHALONG
